archive_id,english
jstor-1624758,True
biostor-103959,True
cbarchive_133941_thetropidoleptusfaunaatcananda9999,True
jstor-30055461,True
geologyfossilsof00dixo,True
in.ernet.dli.2015.7602,True
jstor-2453923,True
biostor-110045,True
mtcarrollareacar1953beva,True
plreports07canauoft,True
biostor-103179,True
reportonprogres05musegoog,True
2GISAPBiologyVeterinaryMedicineAndAg,True
biostor-86627,True
biostor-98409,True
uppercretaceous01mary,True
biostor-93027,True
geologicalmagazi631916wood,True
journalofroyalmi252roya,True
jstor-30060726,True
partiallistofbib00wile,True
reportonconditio00bair,True
outlineofgeneral00alex,True
BiologyAndHumanAffairs,True
jstor-2455072,True
marinemicrofouli00tayl,True
methodsofstudyin00agas,True
generalembryolog061955hubr,True
synopsisoftruecr00weymuoft,True
guidebooksofexcu05inte,True
textbookofgeolog02geikuoft,True
proceedings4619231927bris,True
animalparasites04josegoog,True
principlesofhist00stov,True
bulletindumuseu8musec,False
annualreporttru00histgoog,True
bulletinofbritis06geollond,True
malacologia208081inst,True
palaeontographia06pisa,False
americanjourna4501920newh,True
atlanticaprelim00thomgoog,True
jstor-1641219,True
gayana116196169univ,False
transactionsofro1901roya,True
bulletinunitedst1251923unit,True
NASA_NTRS_Archive_19750002598,True
engineeringsoils7009shur,True
biostor-1579,True
cu31924001613599,True
DTIC_ADA187676,True
zoologicalnamesl1949pear,True
prodromusfaunae00carugoog,False
report04statgoog,True
guidetofossilrema00britrich,True
reportofsecretar1933smit,True
biologicalbullet94mari,True
specialscientifi28usfi,True
sessionalpapers02commgoog,True
reportonprogress1933unit,True
earthsciencefiel1956illi,True
partialsyllabicl00cutt,True
cu31924002908295,True
zoologischerjahr188501staz,False
s6annalsmagazine04londuoft,True
generalguide28amer,True
b22407431,True
annualreportof551901newy,True
northamericanin00shimgoog,True
nominasystematic01agas,False
elementarytextbo00grifrich,True
reportonprogress1938unit,True
isbn_0520029925,True
harrimanalaskase1102harr,True
niagaranreefatth04lowe,True
subtidalconcrete00dona,True
fieldnotebookte00rossb,False
mississippianfo00sgoog,True
reportproceedin37unkngoog,True
textbookofgeolog017730mbp,True
handbookofzoolog01hoevrich,True
geologycountrya00daltgoog,True
b22407194,True
universityofcali10191213univ,True
journalofentomol10pomo,True
excursionsinwest00geol,True
stratigraphyofde00hutt,True
textbookofgeolog04geikiala,True
palaeontologyor01owengoog,True
jstor-2454777,True
b21724933,True
geologyeconomicr00flet,True
wellesleynews2127well,True
annualreportofa189900harv,True
pubmed-PMC3934990,True
in.ernet.dli.2015.222666,True
jstor-4061406,True
biostor-100740,True
palaeontographic5759199196pale,True
tryonia24261992acad,True
royalnaturalhist612lyde,True
cu31924003519539,True
britishregionalg00grei,True
zologytextbook00cock,True
cbarchive_133945_thechazyformationanditsfaunapa9999,True
pubmed-PMC3995986,True
bulletinofmuseu21harv,True
B-001-002-580,True
jstor-2450837,True
laboratorycourse00prat,True
foldtanikozlony6919magy,False
jstor-1647068,True
geologicalmagazi491902wood,True
economicanalysis00peac,True
catalogueofmesoz03brituoft,True
fisherybulletino64usfi,True
in.ernet.dli.2015.205991,True
SymbolaephysicaAnimEhre,False
cbarchive_39857_ontheisopodgenusleptochelia1840,True
jstor-2454058,True
ananalyticalkey00denngoog,True
DTIC_ADA105264,True
in.ernet.dli.2015.273241,True
palaeontology4121961pala,True
atreatiseonbuil03hullgoog,True
bulletinofzoolog592002int,True
annualreportoft511919amer,True
proceedingsofbi531940biol,True
illinoisbuilding184lama,True
jstor-1646489,True
bulletin17survgoog,True
jstor-2455105,True
naturalistsassi00king,True
americanjournal08rodggoog,True
b2234407x,True
bulletinofbritis45zoollond,True
gayana5556199192univ,False
fertilization00aust,True
synopsisoftruecr00weym,True
jstor-30057971,True
canadiannatural03natu,True
elementarygeolo06hitcgoog,True
b28075754,True
earthbeforehisto00perr,True
handbooktolibrar00hornrich,True
palaeontologyors00owe,True
jstor-2453808,True
pubmed-PMC3968116,True
annotationeszool9191niho,True
significanceofwh00tracrich,True
contributionstom00rust,True
biostor-106027,True
jstor-1626132,True
in.ernet.dli.2015.220752,True
elementarytextbo00grif,True
guidetowhalespor00brit,True
jstor-1627895,True
journaloflinnean30190710linn,True
deepoceanbiodete03mura,True
completeencyclop00burn,True
sedimentsofatlan00eric,True
DTIC_AD0286390,True
archivfrnaturg0367berl,False
reportonprogress1948unit,True
geologicalrecor00unkngoog,True
in.ernet.dli.2015.166905,True
cu31924003859463,True
philtrans07011956,True
generalzoology00pearrich,True
quarterlyjourna20londgoog,True
MemoirsMuseumVi48Muse,False
howtofindsharkte00robe,True
cbarchive_37788_conservationdesanimauxmarins1879,True
biostor-93907,True
bulletinofmuseum27harv,True
ergebnissederha1natu,False
cbarchive_135503_theformationofgeodeswithremark1878,True
annalsmagazineof681891lond,True
in.ernet.dli.2015.222665,True
prospectingforoi00panyuoft,True
biostor-80746,True
chessapeakezool00broogoog,True
annalsmagazineof561880lond,True
biostor-92024,True
b2194104x,True
jstor-20021181,True
geologypartswil00hullgoog,True
danishingolfexpe0601ingo,True
atextbookgeolog01grabgoog,True
mindinnatureoro00clargoog,True
proceedingsofind1918indi,True
alaskaharriman12harrrich,True
ancientinvertebr00levi,True
whatcomesfromwh00abbogoog,True
reportprogress01smytgoog,True
reportongeologi03hallgoog,True
chesterarearando1950raas,True
principlesofanim00shuluoft,True
limestonesofpenn00mill_0,True
bub_gb_9rIpAQAAIAAJ,False
minutes14516419551956conc,True
jstor-1766658,True
phoronisarchitec00cowl,True
relationofnatura55unit,True
jstor-1633338,True
stratigraphypale00hosk,True
CAT11110538006,True
jstor-25138626,True
in.ernet.dli.2015.230512,True
1930pt1GeoologicalSurveyGreatBritainSummaryImages,True
biostor-91240,True
aquariumzoologic00stazrich,True
studentselements00lyeluoft,True
cbarchive_52261_hydroidspeciesofobeliacoelente1950,True
bulletinissue01servgoog,True
biostor-92121,True
nautilus00amer,True
cbarchive_131864_onthelowerdevonicandontaricfor1878,True
b28094104,True
geologicalmagazi541907wood,True
in.ernet.dli.2015.56221,True
monographoffresh00allm,True
biostor-80249,False
microtomistsvad00leea,True
catalogueacolle00librgoog,True
palaeonto263919831996pala,True
arxiv-q-bio0608033,True
cu31924002815334,True
biographicalmem00dall,True
bluebellgoshutep00grea,True
biostor-89301,True
abhandlungenzurg81892preu,False
reportsdealingw08survgoog,True
newhampshirenatu00sieg,True
biostor-93008,True
annualreportoftr43newyuoft,True
proceedingsofuni671926unit,True
annualreportofr5619newy_0,True
examinationofwat00threrich,True
cihm_27385,True
journalofcinc13189091cinc,True
microtomistsvad11leegoog,True
biostor-90108,True
palaeontographia01pisa,False
americangeologi73wincgoog,True
pubmed-PMC4062068,True
goldenbookencycl10zimh,True
bub_gb_FqRXAAAAMAAJ,True
archaeologicalus00andr,True
mitteilungenderb343619941996baye,False
materialsforpala19thom,True
jstor-1642540,True
jstor-1645732,True
in.ernet.dli.2015.230841,True
annualreportofr551901newy,True
visitorscatalogu00peab,True
bulletinvolume11usgoog,True
americanjournal288unkngoog,True
oncoralreefsand01danagoog,True
evolutionofmetaz00hadz,True
worldwelivein01barn,True
reportoncretaceo02welliala,True
nautilus67amer,True
naturalconditio01sempgoog,True
jstor-30054331,True
journalmicro02newyuoft,True
cu31924031249166,True
adictionaryfoss00survgoog,True
dli.zoological.occpapers.336,True
biennialreportp00michgoog,True
memoirsgeologic12indigoog,True
palaeontology8121965pala,True
cbarchive_133659_kinderhookfaunalstudiesivthefa1906,True
palaeontology29341986pala,True
journalofmicrosc1118roya,True
annualreportofge1922brituoft,True
earthhistoryfiel1948illi,True
biostor-89985,True
annualreport22survgoog,True
annotatedbibliog00cram_0,True
